sentence,kmeans_cluster,x,y
ok,2,33.790382,-1.289792
ok,2,35.08173,-3.428155
ship phí bao nhiêu,3,-20.236008,-47.239826
nha,4,-64.674667,-23.261438
shop,1,0.868097,3.511286
shop,1,-1.544461,3.183889
ok,2,32.40958,1.85235
kích thước,0,-40.658859,31.817167
ok,2,35.08173,-3.428155
ok,2,35.08173,-3.428155
ok,2,35.08173,-3.428155
ok,2,35.08173,-3.428155
ok,2,35.08173,-3.428155
ok,2,35.08173,-3.428155
ok shop,4,-32.478523,-16.311405
ship bao bao nhiêu tiền,3,-19.66437,-38.425419
ok,2,35.08173,-3.428155
tiền,4,-46.161896,-38.989799
ok,2,35.08173,-3.428155
ok shop,4,-30.224823,-16.123783
shop,1,2.204484,2.048802
ok,2,27.916302,-3.774844
ok shop,4,-33.359299,-16.456781
kích thước,0,-39.543888,31.121721
cám ơn nhea,0,2.11003,28.723047
ok,2,35.08173,-3.428155
ok,2,35.08173,-3.428155
shop,1,-0.465529,-3.76755
ok,2,35.08173,-3.428155
kích thước,0,-40.428219,32.360916
kích thước,0,-40.038349,32.501411
ok,2,32.40958,1.85235
cảm ơn d,0,-10.020462,47.015034
cám ơn shop,0,-26.810499,40.98444
ship bao nhiêu khoản,3,-19.616461,-38.016724
shop,1,-0.465529,-3.76755
link,4,-67.65419,34.548027
ok cảm ơn shop,0,2.847823,32.866875
lắp pin cảm ơn dây sạc,4,-34.569534,-5.453946
ship set cầu trượt thành phố lào cai tầm bao nhiêu tiền shop,1,-21.159721,11.409918
thể gọi kia liên hệ giao hàng cảm ơn,1,-23.662708,9.966882
ok,2,33.789955,-1.292866
shop,1,-0.465529,-3.76755
ok,2,34.151527,-0.929044
ok nha,4,-56.816204,-0.793324
shop,1,-0.465529,-3.76755
ok,2,33.848278,-0.498627
ship trôi phí ship bao nhiêu,3,-18.57188,-32.312721
shop,1,-5.445389,-6.618362
ok cảm ơn,0,-11.14887,46.428135
kích thước,0,-39.543888,31.121721
shop,1,-2.190251,-2.444397
cảm ơn nha,0,-22.570141,39.495583
yep cảm ơn,0,-5.155795,42.762161
shop,1,-0.465529,-3.76755
ok,2,33.845104,-0.498188
ok,2,32.999821,-0.911192
ok,2,33.00206,-0.880317
tiền ship bao nhiêu,3,-19.277853,-35.973263
ok,2,33.789913,-1.292888
ok,2,33.789932,-1.292875
ok,2,33.792587,-1.288465
set stảed,3,6.743674,-34.698692
ok,2,33.414513,-0.595196
ok,2,33.40591,-0.598851
ok,2,33.355923,-0.636822
ship bao nhiêu khoản,3,-19.616278,-38.016514
ship bao nhiêu,3,-10.513189,-67.252266
ok,2,32.994606,-0.944465
ship sài gòn bao nhiêu,3,-18.145447,-28.202642
ok,2,31.196754,-2.025954
ok,2,33.21994,-1.48887
ok,2,33.21954,-1.488693
ok,2,33.025234,-0.84458
ok,2,32.98996,-1.055216
ship bao nhiêu tiền,3,-19.278116,-35.974083
shop,1,-0.465529,-3.76755
cảm ơn ađ,0,-4.938678,42.88446
ok,2,33.853024,-0.50011
tỉnh ship bao,0,-18.41181,33.122601
ok,2,33.014862,-0.880558
ok,2,33.350895,-0.641386
ok,2,33.177406,-1.465784
ok,2,33.401016,-0.600907
shop,1,-0.465529,-3.76755
set stảed,3,8.7412,-34.26965
shop,1,-0.465529,-3.76755
set stảed,3,8.7412,-34.26965
shop,1,-2.313481,-2.639652
ok,2,33.3596,-0.633804
shop,1,-0.465529,-3.76755
shop,1,-0.465529,-3.76755
dặn cảm ơn shop,0,2.158429,30.601955
ok shop,4,-34.004177,-14.215993
khoản bao nhiêu,3,-19.416594,-36.694534
shop,1,-0.465529,-3.76755
ok,2,34.151573,-0.92852
shop xe đẩy,4,-35.05521,-8.606159
ok,2,32.997688,-0.920732
shop,1,-4.661442,0.174113
ok shop,4,-33.248993,-15.556138
shop,1,-0.465529,-3.76755
ok shop,4,-32.837234,-16.042931
ok shop,4,-30.224823,-16.123783
ok shop,4,-32.312115,-15.729188
