sentence,kmeans_cluster,x,y
chiều,4,14.639225,-3.214393
vay,4,5.695838,-5.793792
shop shopee phí vận chỗ đơn hàng phí,4,16.358292000000002,-10.72673
ship 1 hộp,4,19.287228,-3.42161
mua máy hút sữa avent hiện 1 hút nhẹ shop bảo hành hàng shop,4,21.274752,11.591553
máy thực mùi,4,16.163342999999998,7.1532800000000005
phí sưca mua,4,8.406537,-11.52102
máy,4,36.669388,4.731003
giá máy tiệt trùng fatz,4,32.041729,5.985362
máy bình,4,29.664697999999998,2.302094
máy hâm pha sữa,4,31.398252000000003,2.191479
độ,4,5.145877,0.631837
phí rẻ shop,4,17.073315,-13.318747
chiều hàng hả shop,4,-1.1455389999999999,0.297505
135 xã đàn,4,8.000403,-5.96708
máy giá bao nhiêu shop,4,34.765404,12.20894
tặng kèm 2 bình sữa hả,4,25.278423,10.455767999999999
giá máy,4,27.419247,13.533639
ghế dây an toàn,4,4.191875,-4.08885
đi tặng hỏng,4,14.655276999999998,15.463645000000001
shop ship thảm nhạc hôm,4,18.598257,-11.260126
cai giá,4,15.166722,29.566022999999998
mai ship 1 giường umo,4,14.738179999999998,-8.552644
hi shop,4,18.354729000000003,22.498894
xe chạy đường ray,4,5.177282,-2.814172
shop hộc,4,16.918722,0.14121
shop thảm đàn shop chút,4,8.942276,24.826017
máy hấp 5in1 bao nhiêu,4,31.580523,15.023838
máy hút mũi shop,4,23.950003,10.957129
gửi ô tô bớt tiền shop tiền ship,4,24.206364,-6.3102
chiều,4,14.639225,-3.214393
giá máy,4,27.419280999999998,13.533582999999998
tiệt trùng sấy khô fatz giá,4,29.067559999999997,5.361605
ship máy nhan,4,22.045773,8.588041
đấy,4,9.352530999999999,11.558549000000001
shop phơi,4,15.496460999999998,0.49951599999999996
shop gửi ship phí ship,4,25.836733,-16.963894
báo tổng toán,4,24.225899,-6.90128
ship thảm,4,19.868467000000003,-7.794074
ship 1,4,19.817778,-3.009471
mua máy tiệt trùng fat ma bình sữa sale,4,26.189404,5.299764
shop viết shop chất gthieu nha,4,1.921295,4.495627
ship khu đô thị pháp vân giá bao nhiêu,4,31.952738,-13.706695999999999
inbox giá máy tiệt trùng,4,30.888515,7.140402000000001
máy,4,36.669468,4.730989
freeship shop,4,14.287341,19.579204999999998
nhắn tổng tiền,4,25.638327,-6.429774
hi shop,4,18.371853,22.481117
ta máy bay,4,16.92931,7.830158
tiền mặt hả shop,4,23.31045,-3.6893269999999996
uki shop,4,14.199772,18.993229
máy tiệt trùng giá s,4,30.955423,7.139232000000001
fatz baby,4,20.286924,7.189258000000001
tiền ship 200k hả,4,17.271427,-17.742811
bình sữa tini 1 tặnh 1,4,18.820332,8.000359
ship hóa bao tiền,4,32.512203,-8.935216
miễn ship shop,4,15.722992000000001,-14.256364000000001
gửi hàng bao,4,13.068192,-4.759128
hãng shop,4,8.460815,23.0903
chi phí 500k mua đẹp quà,4,6.145435,-9.072134
kiên giang tiền ship bao nhiêu,4,33.080425,-8.580426
ship 2 món,4,18.058439,-7.321229
bánh xe liệu đi đảm bảo,4,5.977991,12.961799000000001
tặng đài shopee gọi mãi máy bận,4,12.15647,10.258268
cốc tập hút richell nha,4,14.953520999999999,14.867348000000002
ship cổ nhuế bao nhiêu,4,32.501553,-7.550350999999999
oki shop,4,8.727236,5.203982
máy lỗi,4,26.419317,8.682425
giúp mua máy xay hấp 5 in 1 nutribaby,4,14.811556,12.953516
bình sữa tổng kèm trừ tiền,4,20.233238,4.829078
máy,4,36.669388,4.731003
shop máy hâm sữa avent,4,26.496826000000002,7.401305000000001
shop máy ẩm giá bao nh tiền,4,32.098858,15.681982000000001
đx tiền,4,11.125618,-11.158073
tổng tiền,4,27.513689000000003,-6.00316
inbox mẫu,4,10.207291,27.459265000000002
ship cũi,4,19.8792,-8.019452000000001
fatz,4,27.219365999999997,4.373598
máy tiệt trùng giá nhiêu,4,30.440110999999998,10.226797
ship trung yên 9 bao nhiêu tiền,4,33.010075,-12.242384
mắc hả,4,4.6392430000000004,15.052010999999998
gửi shop tiền ship,4,22.636936,-13.263972
máy medela freestyle giá bao nhiêu cảm ơn,4,30.925828999999997,16.92907
ship ghế rung,4,17.993551,-6.3709430000000005
dây shop,4,12.919966,21.935162
máy màu vàng,4,22.658653,17.952955
shop máy tiệt trùng sấy khô fat bgio gia nao,4,20.39975,7.173907000000001
mẹ,4,2.18012,-3.583967
ship giúp 1 gối,4,16.097071,-10.069417
ghi,4,12.018585,16.713214999999998
mẫu balo bỉm sữa,4,17.565281,12.345435
sale,4,8.679151,15.127754999999999
ship mấy hôm hàng shop,4,20.370379999999997,-15.434488
ship vinh hiệp phí shop,4,16.54244,-16.715157
máy avent bao nhiêu shop,4,33.315357,14.563051000000002
tiền mặt,4,26.933243,-6.146678
fatz,4,27.219378999999996,4.373533
gọi điện đặt hàng máy tiệt trùng ftaz,4,23.399914000000003,8.957041
voi thông minh xếp chồng thả bóng,4,9.736754,-4.853612
mua bể bơi thành 450 000 1 350 000,4,9.624366,-4.878095
tiệt trùng hơi tia uv,4,27.014925,4.194911
đi xe máy gấp thực tế hơi di,4,15.07645,14.987470000000002
phí đac shop,4,12.723906,-14.192158
tiền ship kg shop,4,26.095072000000002,-12.633239
chiều mấy ship,4,22.204161,-9.173767999999999
tầm mấy,4,16.877802,-6.12483
ship vinh thuận bao nhiêu,4,32.830760999999995,-8.029195
shop máy tiệt trùng tặng quà kèm shop,4,26.755153999999997,9.632691000000001
ghế mấy tiệt trung shop,4,22.836544,14.222175
phí ship đak lak bao nhiêu,4,32.584888,-6.252826
shop ship,4,26.227409,-14.93985
ship tiền shop,4,26.112925,-13.63166
15 cửa nam,4,5.541784,-5.1533370000000005
shop ship nha,4,19.461981,-15.383582999999998
hành đ chỉ,4,4.772868,6.0599099999999995
vay shop ship 5h đi,4,15.741970000000002,-12.118794
shop ship đi,4,19.906109,-12.477874
free ship shop,4,15.775629,-14.230455
bình relea shop,4,9.83119,-0.271593
