sentence,kmeans_cluster,x,y
đặt hàng shopee,0,-52.837868,9.962767
sl hàng,1,-21.810068,-18.714064
báo giá,2,26.905043,71.525795
liên hệ,1,7.907433,-30.689081
chắn giường dạng trượt giá bao nhiêu,5,-35.070099,53.889877
giá ghế dặm pier,2,10.359042,37.144238
mẫu tủ bao nhiêu,8,39.457489,29.885841
mua trời thks,0,-42.192436,3.860743
giá,6,-6.933708,-65.299271
kiểu chân cầu thang chân túi leo,5,-33.075691,39.57666
cầu thang 1 tường kia nắm cầu thang sợ,5,-35.394821,39.25671
chắn cửa bao bao nhiêu,8,45.190411,35.837704
giao shipper đi,1,-9.560644,-20.56682
hàng đi,1,-8.195367,-15.796741
hàng đi,1,-8.195366,-15.796758
bận,0,-49.415783,-13.530621
chiều,4,14.639225,-3.214393
0977527013,7,-45.82103,-45.211979
vay,4,5.695838,-5.793792
ship cod nha,1,7.706332,-27.826071
ship,7,-28.434975,-58.385647
ta,0,-42.300812,-5.420672
tiền khoản,6,-2.076168,-51.757961
s mùng chụp rieg,0,-51.065586,-3.275681
cũi bao nhiêu s,8,39.664875,30.992659
ok,3,48.062275,-6.477955
shop ghế dặm morekiss,2,3.60821,37.521721
shop shopee phí vận chỗ đơn hàng phí,4,16.358292,-10.72673
freeship 3 đơn shop,9,0.794466,17.410917
đỏ xanh hỏng nè shop,9,-12.423413,9.49157
uh chiều đi sinh nhật,1,-0.846503,-10.711401
giúp đơn đi,1,-8.198367,-15.933766
ok,3,49.495033,-4.953615
ship mai,6,11.87364,-59.426647
xong,1,-13.335618,-37.36264
tiền khoản nha,6,-6.013268,-47.742638
0988 333 832,7,-51.877438,-36.520073
phí ship,10,51.405743,-40.044292
ship phí bao nhiêu,3,49.095997,8.870024
bt 15 lô 12-13-14 đường 30 khu đô thị phước long trang khánh hòa 0986889966,10,16.688984,-37.453247
nha,3,65.042763,-18.152922
bé 3 đi,2,-4.975497,54.735828
xe edgar gấp gọn giá bao nhiêu shop,8,33.075302,31.495995
full bao nhiêu shop,8,43.389065,24.004078
địa chỉ 37 ấp chiến thắng bảo hòa xuân lộc đồng nai,10,16.879047,-32.495647
ship 1 hộp,4,19.287228,-3.42161
shop bgio nghỉ tết,9,-37.490681,15.09265
shop,3,53.405193,-23.377106
shop báo giá kia tưởng hàng,9,6.368197,28.245493
hàng ấ,1,-21.802778,-18.706482
shop,3,53.405193,-23.377106
màu cam shop,2,20.35095,45.346416
màu xanh dương,8,26.18725,43.353756
kệ giao hà nội giúp,10,38.178848,-45.544415
điện thoại 0972808390,0,-67.120049,-1.292237
1 kiểu,2,-5.112866,34.739922
ngả,0,-65.084984,-19.019646
xe,7,-35.925823,-67.641884
mua máy hút sữa avent hiện 1 hút nhẹ shop bảo hành hàng shop,4,21.274752,11.591553
thanks,8,42.608189,63.193401
ship,7,-27.145195,-58.012085
thanks,8,39.776047,62.756672
6-7h tối ship,1,10.712529,-22.698507
tổng 695k,0,-55.428875,-0.988726
sản phẩm thú nhún màu ảnh gửi nha,5,-44.398685,18.816862
giá,6,-6.933708,-65.299271
kèm bơm,9,-22.303633,22.48073
ok,3,42.387535,-6.019256
ship tầm 6-7h tối,1,13.193153,-20.765741
0962 660 729,7,-63.926075,-30.724287
ship 1à hẻm 63 ngách 38 ngõ 89 lạc long quân,10,16.102295,-37.518269
đặt 2 ảnh gửi,5,-44.559204,18.625465
thử miệng,0,-44.016953,-8.916491
sản phẩm kiểu định,10,23.971735,-58.819508
phòng bảo hành,1,-3.242154,-33.933155
đồng hôm,10,25.806356,-42.85881
công,10,26.381428,-41.356556
mấy công gửi,1,-3.844382,-12.657243
máy thực mùi,4,16.163343,7.15328
shop treo đỏo hồng đổi phễu,0,-41.90641,10.289989
nhân viên uống bảo mùi,1,-0.437174,-27.481792
gửi vưè bảo hành,1,-2.301541,-31.074392
phễu mùi,7,-65.178833,-29.533625
thực thử mùi,0,-47.08976,-11.91445
phí sưca mua,4,8.406537,-11.52102
máy,4,36.669388,4.731003
inbox giá giúp,2,6.942973,28.653276
gắn,9,-31.807867,7.280489
rời,9,-31.168287,9.040525
lạng sơn vận,10,15.059593,-37.950073
kích thước,3,73.04895,-15.230116
báo giá giúp,9,-15.438646,37.043827
shop bệ thu bồn cầu bé,5,-32.379841,38.780457
giá máy tiệt trùng fatz,4,32.041729,5.985362
ghế hà nội ship,10,38.72781,-45.137867
v1 shop ship shopee,1,8.580885,-15.789634
tư vấn giúp,5,-38.575924,29.372313
gọn,2,-11.536305,40.107853
xe kiểu,2,-9.28987,53.559315
hôm đăng 999,1,-28.027462,-19.872509
xe bao nhiêu,5,-69.147072,39.241486
gọi đấy,1,-10.636847,-21.047483
máy bình,4,29.664698,2.302094
cố gắng ship giúp,1,6.843033,-25.405483
kiểm tra giúp,7,-30.099588,-39.713326
đi quanh bảo đọc giao 1,1,-2.217428,-26.45513
bảo gọi,1,2.222625,-32.953506
gọi ship,6,7.697349,-55.362801
ok,3,42.387535,-6.019256
ship đi,6,16.020864,-56.474319
giao gọi,1,-17.671331,-32.582809
quên điện thoại 0945093393,7,-33.882236,-35.200901
mua ghế bố đón bé đi học viện cảm ơn,9,-2.053076,6.674549
ngắm đường ngoan hợp tác,6,8.40054,-39.982475
gửi fêback gấu bí,1,-23.251333,-11.607821
giá 2,2,9.894986,60.699364
máy khuếch tán tinh dầu giá bao nhiêu,8,27.580484,23.743525
giá,6,-5.960435,-64.074333
https //www facebook com/1454523434857990/pós/2353017268341931/,6,2.018037,-43.038136
máy hâm pha sữa,4,31.398252,2.191479
ok,3,46.91428,-3.232726
1 2 hôm,9,-9.505664,30.865675
thảm khuyến mại kh,9,-16.461294,12.918297
xe kh shop,2,-2.491305,46.872139
thanks chắn cầubthag,5,-32.705524,31.801846
xe rẻ,2,-10.39423,51.16383
đặt shopee,0,-57.709366,5.256329
chốt xe sale bao nhiêu,8,34.217648,31.631523
ok,3,48.062275,-6.477955
báo shop,2,5.38648,32.356625
ok a đo kích thước giường,2,24.514755,61.996929
kiên giang shop,9,-2.382985,10.334072
ship tết kịp,1,11.542328,-23.124403
ship kgai bao nhiêu bé 3m,8,30.176676,22.471518
màu,2,-12.281901,74.551849
kệ đồ bé,2,-3.674709,38.095215
gọi,0,-73.984558,-14.211412
hi tắt đi xong khoản hộ i,1,-11.442694,-38.585552
khoản tech,6,-14.212853,-43.796864
310k,7,-51.203632,-36.527435
tài khoản,5,-50.584427,58.054771
ship hộ ạ7 ngo 369 trường chinh 0912489049 khoản xong ship hộ,1,5.988591,-20.652044
ok,3,43.623363,-3.239287
độ,4,5.145877,0.631837
giá kích thước,8,31.261433,61.560936
chắn cầu thang,5,-47.904457,40.574371
0936168188,7,-43.866287,-47.047855
59 lương ngọc quyến - hoàn kiếm - hà nội,10,35.087624,-44.28479
1590 là 2 chiều ạ,0,-34.439472,2.878549
hihi vovo 2 chiều,9,-12.090769,12.581395
đẩy 2 chiều,2,-6.007158,52.291798
giá bao nhiêu,5,-62.017502,31.972067
xe đẩy beko đấy sale,2,-14.019363,49.701183
860k tập đi,2,-18.895716,43.033833
giá bao nhiêu,5,-61.746899,30.010187
tuỳ chỉnh,0,-48.296165,-7.613823
bóc nguyên hộp,9,-21.593344,6.425633
chân,2,-11.107638,56.09436
tác dụng,0,-30.176989,-3.367674
lắp đâi,9,-27.872358,0.792505
màu trắng,8,32.923817,46.376678
lắp,6,-18.316963,-63.056667
tài khoản,5,-50.584427,58.054771
xe đạp 3 bánh trẻ 3,2,-11.138597,51.5952
gọi,0,-73.984787,-14.211348
mai giao trg gấp,1,-10.161334,-23.933346
hôm mấy ship,6,5.867909,-44.768772
giá bàn nhạc,2,10.700375,39.922775
ok,3,46.333809,2.484554
giao hôm,1,-16.901398,-33.066128
bàn nhạc kia giá khuyến mại mua,9,-3.213205,28.298681
ship shopee phí ship,6,14.83774,-50.675758
cầu trượt bao nhiêu,5,-39.056606,56.453884
đặt shopee,0,-57.709366,5.256329
ok,3,46.91428,-3.232726
shopee kịp shio shop,9,-11.117327,2.669355
sợ shopee ship kịp tết,1,7.982636,-19.350939
tài khoản khoản,10,56.821487,-35.309216
đặt shopee,0,-57.837151,4.993916
ok shop,3,63.479053,15.695295
sơn la,10,31.172871,-34.680481
nhập ship tỉnh,10,19.356228,-27.377859
kèm thảm,2,-21.558071,58.681103
phí rẻ shop,4,17.073315,-13.318747
ship bao bao nhiêu tiền,3,53.765301,13.854155
ok,3,46.91428,-3.232726
nè,0,-48.543545,-2.283172
đặt hươu hồng nha,8,23.030878,35.358803
link shopee,0,-76.696671,4.142999
kiểm tra giúp,7,-30.099783,-39.713669
tiền,3,40.712082,-17.474566
tài khoản bidv,6,-16.164236,-49.210644
2 mấy,9,-5.082939,30.64315
2 gửi,0,-44.127769,18.329489
mai,10,39.26532,-56.023815
tài,5,-48.512802,58.466228
bao nhiêu shop,8,60.157398,46.066437
giá shop,2,15.653167,65.082047
đợi,0,-41.43573,-12.013675
combi handy s giá bao nhiêu,8,31.434246,22.955864
mua combi,9,-24.3155,11.81351
xe combi handy s aprica karoon mua,9,-28.750256,17.754301
shop cửa hnao,9,-5.121146,12.293626
tối giao đi,1,-12.567141,-31.658669
gối mấy,9,-11.97784,11.744657
chiều hàng hả shop,4,-1.145539,0.297505
mấy xếp,9,-12.727706,12.288372
gửi hả shop,9,-13.241711,32.637566
mai tầm mấy giao liên lạc điện thoại,7,-33.622555,-33.609756
đ/c khánh 0914 634 889 sảnh hộ - tháp - díovẻ complẽ 302 cầu giấy,6,8.411332,-39.157726
giao đồ phát nhạc,1,-0.305954,-6.505913
địa chỉ cũ,7,-21.125675,-43.875061
nhờ ̀ng nhận giúp vì ở nhà,0,-58.074467,-20.164463
0344154925,7,-43.315125,-47.946651
điện thoại nhận hàng,7,-34.690292,-34.47287
0344154925,7,-43.315224,-47.946621
nhờ người chuyển ghi ghi facebook,0,-31.827314,-12.852846
check giúp,1,-19.762623,-29.704681
khoản rồi nhé,6,-15.161776,-40.469921
ok,3,45.424686,-4.027909
tài khoản,5,-50.584427,58.054771
1 xúc xắc nữa,0,-44.311779,6.75799
link shopee đồ,0,-48.645493,16.912584
hàng cam,1,-14.616626,-18.358938
tổng bao nhiêu ui,8,45.117413,19.337397
ok 1 aroma màu cam,8,23.987461,36.243595
ok aroma kềnh kh,7,-41.477596,-24.890009
aroma mấy,0,-35.289803,3.831836
ui ngả,0,-51.261845,-3.571932
cảm ơn shop,8,65.936546,35.102913
đăng giúp nha shop,1,-3.33585,-1.064304
ok shop,3,61.782524,15.489804
tly 3 5 triệu bớt,9,-25.630882,7.443059
shop thể up mom quan tâm mua giuap,9,-33.688313,12.364333
giao bé,1,-1.977107,-4.241825
bé 1 tgian ngắn,9,-20.532907,24.208521
mua nôi rung shop,9,2.455159,22.323608
shop,3,51.8265,-22.652327
giá chắn cửa cầu thang,5,-38.833076,47.587742
sản phẩm,10,33.848747,-71.397415
khoản ntnao,6,-14.27214,-43.760262
ship 66 nguyễn thị minh khai thành phố vinh nghệ an nha,10,35.149185,-32.298603
mình màu đỏ,8,25.95524,36.655697
màu nào,8,28.525665,37.992012
xe này bao nhiêu,8,35.30217,34.666916
hôm,2,19.380196,75.553185
ngõ 217 đê la thành ạ7 khu văn phòng quốc hội,10,30.333506,-35.013466
ok,3,44.199657,3.777053
màu xanh,6,22.413294,-74.569847
45k/c,7,-44.259689,-46.183655
địu bé,2,-3.846382,37.953632
135 xã đàn,4,8.000403,-5.96708
ship hành,1,-0.703953,-35.482754
ok n,7,-37.599953,-25.730267
ok shop,3,62.276814,15.567078
okie màu hồng,8,28.010571,41.440693
tàu hoả 1 nhắn màu xanh,8,24.021671,36.775429
shop quẹt thẻ,9,-37.369392,16.514942
hàng sẵn,1,-7.917662,-8.84463
máy giá bao nhiêu shop,4,34.765404,12.20894
đặt cảm đồ bé đổi sản phẩm tiền tiền,10,24.231945,-55.938568
cầu trượt đấy bé,5,-41.268906,47.998344
kích thước,3,73.321472,-15.280706
