sentence,kmeans_cluster,x,y
đặt hàng shopee,3,13.425004,-44.571148
mua trời thks,4,-3.74619,-9.855489
bận,2,-22.48053,-36.051422
ta,5,-36.092667,7.961539
s mùng chụp rieg,4,-6.680105,-5.404228
điện thoại 0972808390,5,-17.693829,30.807817
ngả,5,-30.384453,15.731355
tổng 695k,2,-22.021643,4.089003
thử miệng,4,-11.172646,-6.950148
shop treo đỏo hồng đổi phễu,2,-17.191519,-12.664427
thực thử mùi,5,-37.68042,15.675367
đặt shopee,3,25.275484,-47.365063
gọi,1,29.097612,32.868404
1590 là 2 chiều ạ,4,0.779051,-7.364663
tuỳ chỉnh,4,7.232488,20.115824
tác dụng,5,-25.552086,11.459385
gọi,1,30.991211,31.242311
đặt shopee,3,22.5835,-46.305096
đặt shopee,3,21.325861,-48.257896
nè,1,14.466414,32.549267
link shopee,3,3.281981,-55.584019
2 gửi,5,-47.963047,14.717778
đợi,2,-42.153694,-20.966482
nhờ ̀ng nhận giúp vì ở nhà,2,-13.319081,-4.346313
nhờ người chuyển ghi ghi facebook,4,-1.020472,-3.369037
1 xúc xắc nữa,3,-0.11617,-28.984867
link shopee đồ,3,7.634597,-35.767323
aroma mấy,4,16.54331,12.717665
ui ngả,5,-14.100286,22.436672
vầy,2,-27.278873,-38.819271
thân 74,2,-34.219669,-13.346283
cộng 90cm,5,-32.548271,7.139073
đặt shopee,3,25.351963,-48.14402
đặt hàng shopee,3,13.425033,-44.571636
ạh,1,-4.80361,47.219334
gọi,1,30.362204,31.828117
dùm,2,-47.425896,-7.933092
liệu order tết,4,-0.809179,-7.247945
xúc xắc gặm nướu 2 yếm chống thấm,4,-8.714834,-1.634116
jo xì khói,2,-12.918005,-14.20991
chút sho,4,-13.850818,2.092539
bao nhiêu,0,58.546581,-4.398498
lều trẻ,5,-37.64925,26.00234
muộn,2,-44.150295,-29.896154
bgio,5,-48.599834,9.632233
ôi,2,-62.076084,-3.747331
133 dương bá trạc p1 q8,5,-27.476158,9.741943
link shopee đặt hàng gửi,3,8.492519,-34.192535
re goi dau bé,2,-14.504124,-28.943916
dậy kiểu ngủ,4,-11.384228,0.829462
phun vòi,5,-24.765026,17.422922
thoát mấy lỗ,4,-1.7416,-1.915079
hỏng,5,-34.767647,13.806549
ok đặt shopee,3,23.521681,-36.373943
100k,4,-5.169903,6.035985
thẻ điện thoại,5,-18.595238,32.078239
1 det xúc xắc,3,0.09311,-28.987127
bao nhiêu,0,61.692337,0.074786
bao nhiêu,0,64.753952,-0.277027
đặt shopee hôm,3,15.654316,-40.518749
ch tiết,4,8.613868,1.92392
bill mhé,2,-38.050655,-6.253563
hihi,5,-61.577351,29.619061
combi,2,-26.507267,-1.938711
cốc uôbgs 360 độ,4,-5.191122,1.154949
chuẩn,3,18.486776,-24.383001
hihi,5,-60.846519,29.515158
bao nhiêu,0,64.942055,-2.959554
công ty cp kỹ thuật xây dựng phòng sạch chun wô,2,-14.543588,-4.029829
tháo 0931252989 sảnh r4 royal city,5,-8.444584,20.918482
đơ chút,5,-28.163465,14.604012
đặt shopee,3,22.604326,-46.841133
bao nhiêu,0,65.798935,-1.777952
hiện,2,-46.934769,-9.384927
bao nhiêu,0,64.078949,-2.93189
lều,5,-34.090179,28.1644
điện thoại 0966601230,5,-19.547718,35.745464
xác 1m45,3,-0.780974,-20.597696
tầm 1m45,4,-0.358926,21.002432
bao nhiêu,0,64.007607,-6.576739
tầm 6-7h,3,-2.311282,-25.757502
lật bàn phẳng vẽ,4,-7.610033,-0.632676
gọi,1,30.867876,32.878815
bánh odi,3,4.779607,-34.778488
nhiêu,0,65.745262,8.167797
0909371772 vui,4,-14.222508,0.793657
oki,5,-61.879925,21.898832
khoan tường,5,-25.240856,12.353596
order,2,-48.368164,-23.627142
link shopee,3,2.685374,-54.239731
hoá hàng nhập khẩu 220v đ,2,-21.882492,-7.762799
đầu bỡ ngỡ,4,7.592033,5.405947
khay đoa chức năng cảnh báo,4,-2.711305,3.915445
konig kid cung hét hả,4,-4.701989,-4.786184
ôi t7 quê,4,-3.534757,-6.943062
da,2,-41.249149,-31.616087
quét mã qr,4,6.361057,11.734303
đặt shopee,3,24.093626,-47.896172
dọn quên hxuong,2,-13.943736,-15.173567
bao nhiêu,0,65.614563,3.530286
ghi 300,5,-23.302673,15.453219
giá đọi infatin lun,2,-29.293621,-10.18684
link shopee,3,2.615925,-54.794102
láng,4,-3.665315,7.223818
764 lăng,5,-10.410866,30.876633
trang 450,4,3.98555,12.481333
điện thoại gửi,5,-40.27298,23.499931
khoan đất,4,-1.752971,7.231025
đất,4,15.274199,1.96826
bận xly,3,-4.08734,-21.1933
qên báo xly dây buộc,4,-7.317028,14.486877
báo qa xly,2,-10.300467,-9.854577
ok bao nhiêu nôi sg111 co thê dieu chinh độ nghiêng fk,4,-10.453153,4.28605
điện thoại 0936331305,5,-22.555706,28.853783
bao nhiêu,0,61.692337,0.074786
đặt shopee,3,22.71805,-44.626877
link shopee,3,2.291709,-57.635834
điện thoại 0983097397,5,-17.777617,31.925524
bao nhiêu,0,63.421024,-3.683204
huhu,0,34.653423,13.075729
vây,5,-32.430634,41.950329
dt 0904715678,2,-39.341808,-0.43698
lăps giup,4,-2.697909,-19.289635
1m4x2m hả,5,-26.904661,27.72345
vây bgio co chương trình ho tro gia vay shop,2,-14.881113,-0.780573
vây,5,-32.430634,41.950329
mat,5,-27.570358,9.007424
xe b-beko tot hon,4,-2.925209,9.980099
jạ cua chi jok,4,-10.037496,14.294585
bao nhiêu,0,64.007607,-6.576739
chuẩn,3,18.486372,-24.382891
áo mưa,4,12.057261,10.318453
bao nhiêu,0,61.692337,0.074786
gọi,1,29.72261,32.770332
điện thoại,5,-21.257454,36.367153
tuần nghỉ tết,3,10.704735,-23.836914
chở khúc thừa dụ đi xe,4,-6.278246,-0.375694
92 cm 90 cm ảnh,4,-13.544612,-1.222153
lệch chiều ngang,5,-8.373531,21.735683
điện thoại 0919728868,5,-20.119423,30.278351
bao nhiêu,0,63.576385,-2.166342
lạ ngại,5,-9.863679,17.97772
vwuà dặn,3,-6.13235,-26.958755
oh,5,-41.670391,39.362167
t7,3,-8.551363,-40.792336
đặt shopee,3,24.241486,-49.650959
kip tết,4,10.268179,-2.344771
hi,1,21.946264,61.929104
ta,5,-36.092667,7.961539
gọi,1,30.867876,32.878815
shope,2,-52.375534,-14.774276
s luon,5,-11.093671,24.204386
đặt giúp,3,22.869249,-32.191204
oki,5,-61.93568,20.811859
tầm 50k,4,-0.867455,18.897488
đặt shopee,3,18.577087,-46.599716
đỡ,4,8.728192,-14.850282
chậu tắm,4,22.135149,5.608479
1m 50cm,5,-27.572554,17.503098
giới thiệu,2,-47.231438,-2.932761
điện thoại,5,-21.375851,36.449905
ui,1,10.579877,45.176144
điện thoại 0961669090,5,-24.959259,33.667633
ngựa ship 19 hương viên,5,-24.097099,27.385729
lô code 100k tiếc,4,-5.095099,6.146438
4 250 000 dat,3,1.842994,-32.81464
bao nhiêu,0,64.477547,-2.252527
bao nhiêu,0,61.692337,0.074786
đặt shopee,3,23.559002,-47.832279
gửi đồ,5,-47.957294,14.040185
tận,2,-18.885303,-31.251284
trời,2,-27.811764,-20.246834
đặt shopee,3,26.810484,-46.026424
ok gửi ảnh,5,-46.623875,19.189608
khoan đục,2,-20.690977,-0.054016
t2,3,-6.811956,-34.479603
bơm,2,-31.877775,-28.977604
xun gia,5,-9.125985,35.752354
đợi suốt,4,-4.901528,-12.261607
bảo hành,1,1.412246,67.616348
036 5392115 30 tràng tiền,4,-3.684499,1.042662
tuần nhắc đợi,3,5.846455,-24.010107
bt,5,-25.858255,21.741161
doux,4,12.250168,-11.682535
moaz bebe,4,-2.809282,3.790876
shop xịt khuẩn môi trường xung quanh bé,2,-15.443976,-1.411514
bao nhiêu,0,65.614563,3.530286
1h,1,-5.563864,47.597809
oki,5,-62.588036,20.791483
lệch bánh trg,4,4.00137,2.888414
sửa,3,18.746704,-19.923294
gọi,1,29.980125,33.597851
giới thiệu,2,-47.231514,-2.932757
bao nhiêu,0,64.007607,-6.576739
cốc topaz city block b1 192 lỗ p4 q8,4,-1.882498,-2.111407
link hàng,3,15.552637,-28.846634
huế,4,18.932289,-13.646798
oto,2,-40.129047,-15.689606
bao nhiêu,0,69.624168,-2.187253
dạ 135k là 1 kệ nào,4,-1.634466,-16.025425
tối cháu sn joi,4,-3.308596,3.042244
tặng sn cháu,2,-15.16157,-9.356737
bút ve,2,-24.244009,5.477731
toyhouse,2,-33.49374,-1.075129
hiểm,2,-23.498735,-3.256647
nghi thừa sợ,4,-13.07364,5.78415
miếng sắt,2,-26.797667,-22.82522
miếng sắt,2,-26.797689,-22.823799
vinng lắp huh,2,-5.825431,-17.336086
hóa,4,11.770113,14.689086
hiệu ikea,4,25.17445,-9.950305
bàn sần sùi phẳng,4,7.514027,-0.795763
https //scontent fhan5-3 fna fbcdn net/v/t1 0-9/fr/cp0/e15/q65/83326001_2378388132471511_7662799818791583744_n jpg _nc_cat=106 è=eyjpịibyj9 _nc_ohc=odxrgw23-cuãnltw6 _nc_ad=z-m _nc_cid=0 _nc_zỏ9 _nc_ht=scontent fhan5-3 fna oh=2012ba5cf12419c45861bba75b102b9c oe=5ed96516,4,-11.007123,-4.505319
bẩn,2,-35.422356,-4.737802
đặt,0,48.873341,26.961796
hả chụ,4,4.354451,22.238157
149g đội cấn 0973159966,4,-11.48585,3.783998
tuần lộc,3,10.026587,-23.822968
tưởng 1xx 1 xxx,2,-8.944443,-20.874121
full pko,4,21.905558,-13.086005
đọc viết hơi mông lung,4,13.391955,-5.834593
phân vân,4,-2.593099,18.728064
bao nhiêu,0,65.614563,3.530286
tầm 8h,2,-23.503212,1.852487
vây,5,-32.430588,41.95224
hả há,5,-6.463539,28.008234
chả lỗi,4,6.685804,-14.345186
ving,3,26.251261,-34.267437
tuần quê,3,5.866971,-24.05414
đặt shopee,3,23.710417,-47.130531
tường ga mực,4,-8.523235,0.419365
bấm kqua,2,-31.191763,-7.392558
bao nhiêu,0,64.007607,-6.576739
nhiệt kế doux đo trán,2,-12.608037,-9.014916
lười shôê lắm,2,-19.315523,-7.862424
bao nhiêu,0,63.611801,-3.012036
shopee hinh nhu 250k moi ho tro ship,4,-5.614169,-5.614434
cặp nhiệt độ hồng ngoại,4,-6.119324,-14.07446
bảo hành,1,-0.836879,67.778046
xác,3,0.008018,-20.48881
điện thoại 0969740990,5,-22.928659,35.420235
khẩu trang rửa khô,4,14.267492,-9.256111
thơ,2,-25.220716,-42.258747
cọ gia khuyến mại tai page rou a,4,-11.715285,-0.314748
nắp đậy hả,4,3.888513,1.972188
balo,3,35.149361,-20.207331
điện thoại 0981414129,5,-20.843983,39.317116
điện thoại 0938192703,5,-13.929831,37.579597
ngô thị trà thôn 5-nghĩa hưng chư păh gia lai 0973 120 616,4,-12.39854,-2.268947
